epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92515,1.85538,2.23511,0.03777,0.18625,0.23622,0.15041,0.0622,2.32404,4.80283,0.06289,0.00042,0.00042,0.07242
2,15.2901,1.76555,2.21704,0.03565,0.49218,0.1602,0.14975,0.03924,2.37165,3.2434,0.05962,0.000770355,0.000770355,0.0437704
3,20.1068,1.81296,2.40859,0.03598,0.36378,0.25711,0.23645,0.09076,1.98726,3.03843,0.04647,0.00103458,0.00103458,0.0150346
4,25.2073,1.8412,2.28967,0.03492,0.3417,0.33582,0.30914,0.10945,2.13863,2.67693,0.05366,0.0010545,0.0010545,0.0010545
5,30.0727,1.78778,2.15601,0.03494,0.40998,0.3848,0.34114,0.13558,1.95011,2.42249,0.04629,0.000906,0.000906,0.000906
6,35.0712,1.68195,1.91448,0.03214,0.30083,0.41325,0.37791,0.15616,1.93022,2.24972,0.04435,0.0007575,0.0007575,0.0007575
7,40.0846,1.74196,1.82593,0.03395,0.72783,0.28505,0.38639,0.17245,1.71522,2.09406,0.0388,0.000609,0.000609,0.000609
8,45.6705,1.68947,1.83131,0.03282,0.44953,0.51003,0.47292,0.17553,2.08108,2.04086,0.05095,0.0004605,0.0004605,0.0004605
9,50.7129,1.65469,1.66305,0.03189,0.45233,0.50046,0.45892,0.20408,1.87263,1.92403,0.04153,0.000312,0.000312,0.000312
10,55.6954,1.53861,1.66155,0.02856,0.44838,0.49398,0.48909,0.23185,1.69957,1.88775,0.03504,0.0001635,0.0001635,0.0001635
