epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7283,1.79058,12.1826,0.02421,0.08156,0.155,0.05445,0.01797,2.01704,22.4511,0.04605,0.000285,0.000285,0.040785
2,23.6153,1.63043,3.64223,0.02064,0.16333,0.28525,0.13761,0.06487,2.01799,3.63789,0.04481,0.00058307,0.00058307,0.0310831
3,26.3486,1.69146,2.98633,0.02375,0.28391,0.29925,0.18985,0.07533,2.01993,3.09847,0.04805,0.000879159,0.000879159,0.0213792
4,28.9326,1.70041,2.68583,0.02261,0.31392,0.33538,0.28038,0.12278,1.94271,3.45375,0.04795,0.00117327,0.00117327,0.0116733
5,31.6268,1.68556,2.49038,0.02386,0.21544,0.36928,0.22972,0.10281,1.91636,3.64918,0.04745,0.0014654,0.0014654,0.0019654
6,34.1241,1.71291,2.33587,0.02403,0.33697,0.39309,0.33796,0.14275,1.98964,2.9872,0.04438,0.00147525,0.00147525,0.00147525
7,36.8855,1.79344,2.31346,0.02425,0.70736,0.18627,0.26487,0.08362,2.10881,4.25574,0.04858,0.0014703,0.0014703,0.0014703
8,39.4148,1.77385,2.2353,0.02526,0.23888,0.36088,0.21674,0.0749,2.11923,3.91137,0.05008,0.00146535,0.00146535,0.00146535
9,41.8599,1.74915,2.14971,0.02407,0.2923,0.39007,0.31257,0.11307,2.16234,2.69935,0.05114,0.0014604,0.0014604,0.0014604
10,44.3526,1.80154,2.05064,0.02595,0.15612,0.28338,0.20996,0.06737,2.21901,3.7283,0.05117,0.00145545,0.00145545,0.00145545
11,46.8522,1.75397,1.96887,0.02489,0.27066,0.41287,0.28278,0.1117,2.06092,2.8833,0.04955,0.0014505,0.0014505,0.0014505
12,49.6456,1.73236,1.92573,0.02247,0.40328,0.35294,0.31753,0.11325,2.0083,3.09015,0.0434,0.00144555,0.00144555,0.00144555
13,52.2239,1.72867,1.92812,0.02393,0.73645,0.27544,0.38437,0.13869,2.12199,2.35257,0.05271,0.0014406,0.0014406,0.0014406
14,54.836,1.72049,1.87075,0.02386,0.45392,0.48039,0.44969,0.18281,1.909,1.93278,0.04407,0.00143565,0.00143565,0.00143565
15,57.4009,1.7105,1.78716,0.02497,0.33938,0.51158,0.43699,0.16519,2.16285,1.81376,0.05037,0.0014307,0.0014307,0.0014307
