epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81735,1.77151,8.4404,0.02453,0.16166,0.25426,0.14178,0.06617,1.76802,3.60698,0.04145,0.000291429,0.000291429,0.0405771
2,13.2352,1.59162,3.121,0.02391,0.2551,0.35888,0.27243,0.13301,1.69606,3.97723,0.0349,0.000589477,0.000589477,0.0308752
3,17.4302,1.68922,2.7149,0.02498,0.34904,0.2905,0.26496,0.12161,1.77779,2.76677,0.0428,0.000885545,0.000885545,0.0211713
4,21.8633,1.70811,2.61418,0.02682,0.40398,0.29857,0.31674,0.14292,1.90676,2.37389,0.04708,0.00117963,0.00117963,0.0114653
5,26.1936,1.70958,2.5542,0.02508,0.40471,0.32884,0.32718,0.13719,2.09227,2.8243,0.0588,0.00147174,0.00147174,0.00175746
6,30.636,1.73175,2.41762,0.0267,0.32481,0.45344,0.34519,0.13802,2.00457,2.80322,0.04894,0.00147525,0.00147525,0.00147525
7,35.0657,1.76709,2.38883,0.02663,0.32593,0.36192,0.32812,0.13582,2.02184,2.33488,0.04666,0.0014703,0.0014703,0.0014703
8,39.2117,1.76673,2.28935,0.02609,0.34952,0.44226,0.33864,0.15808,1.96178,2.25388,0.04516,0.00146535,0.00146535,0.00146535
9,43.6723,1.73762,2.29079,0.02652,0.3845,0.37109,0.3571,0.15982,1.8498,2.36028,0.04293,0.0014604,0.0014604,0.0014604
10,47.915,1.74909,2.21998,0.02503,0.3951,0.36764,0.39089,0.16898,2.02149,2.24575,0.04797,0.00145545,0.00145545,0.00145545
11,52.1161,1.78716,2.22589,0.02785,0.32211,0.49776,0.35857,0.14533,2.03975,4.40922,0.04907,0.0014505,0.0014505,0.0014505
12,56.5031,1.74177,2.12084,0.02604,0.49847,0.42435,0.40175,0.18199,1.92378,1.88755,0.04305,0.00144555,0.00144555,0.00144555
13,60.9477,1.71064,2.10958,0.02537,0.50544,0.45372,0.45332,0.21014,1.8272,2.23896,0.04138,0.0014406,0.0014406,0.0014406
14,65.2493,1.70797,2.10002,0.02607,0.50268,0.50585,0.4571,0.20779,1.88681,1.95225,0.04509,0.00143565,0.00143565,0.00143565
15,69.7887,1.73462,2.03268,0.02731,0.38147,0.4252,0.39972,0.18781,2.02449,1.83828,0.04964,0.0014307,0.0014307,0.0014307
16,74.0139,1.72431,2.00319,0.02675,0.56479,0.42255,0.46971,0.20009,1.98943,1.91533,0.04943,0.00142575,0.00142575,0.00142575
17,78.3856,1.69703,1.90111,0.02543,0.47173,0.54388,0.47559,0.21048,1.88481,1.9881,0.0436,0.0014208,0.0014208,0.0014208
18,82.6084,1.6772,1.89768,0.02429,0.51948,0.52997,0.51663,0.22319,1.75371,1.83696,0.03835,0.00141585,0.00141585,0.00141585
19,86.749,1.71813,1.90257,0.02533,0.37593,0.4202,0.40988,0.18966,1.75315,2.16309,0.03913,0.0014109,0.0014109,0.0014109
20,91.1336,1.75115,1.8767,0.02627,0.63651,0.43342,0.51206,0.22344,1.85568,1.78764,0.04192,0.00140595,0.00140595,0.00140595
21,95.245,1.68034,1.91103,0.02511,0.52932,0.50278,0.48447,0.24628,1.71801,2.25915,0.03857,0.001401,0.001401,0.001401
22,99.6073,1.66542,1.86587,0.0242,0.48732,0.40066,0.41886,0.20436,1.81107,1.87458,0.04156,0.00139605,0.00139605,0.00139605
23,103.948,1.63886,1.9436,0.02355,0.44,0.50621,0.46088,0.21818,1.83322,1.81944,0.04265,0.0013911,0.0013911,0.0013911
24,107.995,1.65163,1.7718,0.02333,0.67068,0.43352,0.53156,0.26233,1.70952,2.03399,0.03675,0.00138615,0.00138615,0.00138615
