epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25518,1.87905,13.2493,0.02647,0.06433,0.03361,0.02194,0.00881,2.70551,25.5936,0.07209,0.000285,0.000285,0.040785
2,7.52169,1.65359,3.85238,0.02185,0.37614,0.06863,0.03955,0.0092,2.51929,7.23721,0.07212,0.00058307,0.00058307,0.0310831
3,10.7623,1.74193,3.17988,0.02484,0.13267,0.14893,0.09404,0.02875,2.23289,6.52669,0.06042,0.000879159,0.000879159,0.0213792
4,14.2469,1.74793,2.93299,0.02475,0.31058,0.28259,0.17838,0.06151,2.05589,4.67047,0.0516,0.00117327,0.00117327,0.0116733
5,17.513,1.72185,2.83304,0.0236,0.13157,0.13772,0.07894,0.03104,2.03664,3.79112,0.04894,0.0014654,0.0014654,0.0019654
6,20.6897,1.80148,2.58927,0.02542,0.29954,0.30065,0.23224,0.08825,2.33435,3.03991,0.06185,0.00147525,0.00147525,0.00147525
7,23.8632,1.89691,2.62294,0.0269,0.12754,0.22736,0.0719,0.02655,2.17991,4.23865,0.0568,0.0014703,0.0014703,0.0014703
8,26.9972,1.82275,2.48683,0.02631,0.19881,0.26796,0.153,0.04995,2.21707,3.66574,0.05498,0.00146535,0.00146535,0.00146535
9,30.298,1.81992,2.45047,0.02508,0.11308,0.24183,0.12447,0.0458,2.27666,3.38858,0.05944,0.0014604,0.0014604,0.0014604
10,33.4261,1.84014,2.45402,0.02665,0.15409,0.19421,0.14849,0.05756,2.24563,3.89006,0.05864,0.00145545,0.00145545,0.00145545
11,36.6138,1.78941,2.41174,0.02599,0.67058,0.27171,0.28455,0.1246,2.19656,3.05128,0.0575,0.0014505,0.0014505,0.0014505
12,39.8043,1.82683,2.25211,0.02445,0.28036,0.28438,0.25406,0.09591,2.26439,4.02815,0.05469,0.00144555,0.00144555,0.00144555
13,42.8165,1.78411,2.25884,0.02486,0.34342,0.39496,0.28706,0.1101,2.1145,2.73697,0.05109,0.0014406,0.0014406,0.0014406
14,46.3682,1.83898,2.22261,0.0262,0.60309,0.22549,0.28167,0.11343,2.46244,2.79883,0.06372,0.00143565,0.00143565,0.00143565
15,49.3497,1.75764,2.10629,0.02586,0.27298,0.44258,0.30193,0.11201,2.03922,2.76885,0.0496,0.0014307,0.0014307,0.0014307
16,52.3029,1.72334,2.06846,0.02298,0.73795,0.26237,0.33612,0.13889,1.96128,2.50928,0.04277,0.00142575,0.00142575,0.00142575
17,55.4008,1.81092,2.05056,0.02521,0.36664,0.29722,0.2705,0.1055,2.13316,3.23781,0.05058,0.0014208,0.0014208,0.0014208
18,58.4916,1.77421,1.957,0.02397,0.72829,0.27311,0.30087,0.12713,2.23846,2.69813,0.0575,0.00141585,0.00141585,0.00141585
19,61.8416,1.72835,1.99431,0.02423,0.34228,0.48638,0.38507,0.14992,2.0187,2.27245,0.04805,0.0014109,0.0014109,0.0014109
20,64.9287,1.73692,1.91956,0.02357,0.54675,0.43091,0.43748,0.17565,2.12817,2.04448,0.05489,0.00140595,0.00140595,0.00140595
21,68.1418,1.73297,1.91296,0.02531,0.25877,0.4877,0.33625,0.12419,2.15466,2.82472,0.0519,0.001401,0.001401,0.001401
22,71.2201,1.76587,1.87417,0.02481,0.45486,0.50334,0.45802,0.18857,2.05264,2.22057,0.04798,0.00139605,0.00139605,0.00139605
23,74.593,1.71781,1.93195,0.02516,0.37157,0.41923,0.35783,0.14743,2.14444,2.17069,0.05339,0.0013911,0.0013911,0.0013911
24,77.5768,1.72732,1.91771,0.02546,0.44406,0.53782,0.47773,0.20049,2.08091,2.02289,0.0541,0.00138615,0.00138615,0.00138615
25,80.7114,1.74125,1.91442,0.02574,0.42969,0.3422,0.37467,0.15181,2.15468,1.96052,0.05698,0.0013812,0.0013812,0.0013812
26,83.8343,1.67702,1.83597,0.02246,0.41001,0.40756,0.35331,0.14507,1.89482,2.62352,0.04714,0.00137625,0.00137625,0.00137625
27,86.9311,1.72447,1.94963,0.02457,0.46979,0.4302,0.43189,0.16074,2.09916,2.09962,0.05087,0.0013713,0.0013713,0.0013713
28,90.2468,1.69743,1.7868,0.02294,0.31013,0.4944,0.38077,0.16135,1.94422,2.71376,0.04682,0.00136635,0.00136635,0.00136635
29,93.2034,1.6539,1.8085,0.02187,0.36922,0.47152,0.41059,0.17743,1.89854,2.05456,0.04358,0.0013614,0.0013614,0.0013614
30,96.3562,1.72186,1.78179,0.02296,0.46467,0.52988,0.53365,0.24706,1.91247,1.56248,0.04621,0.00135645,0.00135645,0.00135645
31,99.4351,1.6358,1.76767,0.02185,0.4435,0.48413,0.47465,0.20088,2.10274,1.91221,0.0483,0.0013515,0.0013515,0.0013515
32,102.464,1.66866,1.72989,0.02225,0.53486,0.47993,0.43398,0.16225,2.12817,2.06713,0.05053,0.00134655,0.00134655,0.00134655
33,105.722,1.60273,1.64613,0.0218,0.4391,0.57325,0.50935,0.21244,2.09846,1.78121,0.04734,0.0013416,0.0013416,0.0013416
34,108.805,1.66476,1.74842,0.02326,0.53208,0.48623,0.44477,0.17947,2.16,1.75931,0.05014,0.00133665,0.00133665,0.00133665
35,111.765,1.6554,1.73562,0.02199,0.54089,0.47881,0.47247,0.19133,2.12426,1.90129,0.04926,0.0013317,0.0013317,0.0013317
36,114.845,1.6842,1.7807,0.02232,0.52924,0.48693,0.44802,0.18265,1.97137,2.13901,0.04499,0.00132675,0.00132675,0.00132675
37,118.139,1.63972,1.63561,0.02181,0.48445,0.51647,0.47787,0.20203,1.89631,1.71855,0.04266,0.0013218,0.0013218,0.0013218
38,121.192,1.61726,1.70973,0.02228,0.64874,0.55509,0.59419,0.25802,1.97782,1.39452,0.04482,0.00131685,0.00131685,0.00131685
39,124.416,1.59268,1.60318,0.02032,0.69078,0.61998,0.64022,0.24793,2.21294,1.58405,0.05266,0.0013119,0.0013119,0.0013119
40,127.524,1.60885,1.63028,0.02129,0.60943,0.54317,0.52152,0.18696,2.51412,1.80023,0.06421,0.00130695,0.00130695,0.00130695
41,130.616,1.61238,1.55804,0.02079,0.49978,0.55488,0.53212,0.23399,2.14764,1.57305,0.05102,0.001302,0.001302,0.001302
42,134.085,1.6128,1.53717,0.0208,0.55492,0.53548,0.52135,0.20219,2.20551,1.77115,0.05023,0.00129705,0.00129705,0.00129705
43,137.078,1.60734,1.59287,0.02128,0.54944,0.52194,0.52899,0.21815,2.29236,1.68866,0.05776,0.0012921,0.0012921,0.0012921
44,140.172,1.65337,1.69357,0.02259,0.53157,0.55182,0.54757,0.22767,2.2074,1.60797,0.05664,0.00128715,0.00128715,0.00128715
45,143.204,1.58374,1.66053,0.02039,0.62586,0.55617,0.5667,0.23407,2.0001,1.50288,0.04393,0.0012822,0.0012822,0.0012822
46,146.152,1.63942,1.63367,0.02163,0.61182,0.56641,0.56179,0.27017,1.79541,1.47829,0.03935,0.00127725,0.00127725,0.00127725
47,149.488,1.61776,1.55737,0.02179,0.5803,0.54576,0.55387,0.24386,2.0739,1.57353,0.04825,0.0012723,0.0012723,0.0012723
48,152.519,1.59741,1.59385,0.02209,0.57179,0.60565,0.53638,0.22449,2.12256,1.60777,0.04805,0.00126735,0.00126735,0.00126735
49,155.535,1.60272,1.49845,0.02112,0.59488,0.51587,0.53552,0.24258,1.94186,1.56869,0.04525,0.0012624,0.0012624,0.0012624
50,158.603,1.60289,1.64125,0.02192,0.4938,0.54949,0.48852,0.21476,2.0792,1.84787,0.04758,0.00125745,0.00125745,0.00125745
51,161.625,1.63093,1.53119,0.0206,0.5276,0.61127,0.54078,0.23042,2.08424,1.54068,0.04732,0.0012525,0.0012525,0.0012525
52,164.697,1.57834,1.49734,0.0212,0.65056,0.5915,0.57353,0.22741,2.17898,1.53761,0.05235,0.00124755,0.00124755,0.00124755
53,167.949,1.57818,1.45251,0.02039,0.53926,0.56863,0.54531,0.21573,2.18549,1.47866,0.05035,0.0012426,0.0012426,0.0012426
54,170.93,1.63661,1.54551,0.02203,0.58671,0.55976,0.5386,0.23219,2.12034,1.61626,0.04854,0.00123765,0.00123765,0.00123765
55,173.895,1.54434,1.5508,0.01962,0.5675,0.60296,0.559,0.24624,2.09945,1.55462,0.0503,0.0012327,0.0012327,0.0012327
56,176.964,1.51369,1.51752,0.02003,0.7252,0.51541,0.56044,0.24928,2.08341,1.59141,0.04778,0.00122775,0.00122775,0.00122775
57,180.439,1.55364,1.50319,0.02021,0.50788,0.56279,0.48645,0.20017,1.99223,1.79026,0.0435,0.0012228,0.0012228,0.0012228
58,183.561,1.62326,1.5152,0.02162,0.52466,0.55797,0.54091,0.23358,2.12495,1.68123,0.05343,0.00121785,0.00121785,0.00121785
59,186.609,1.51521,1.40645,0.01873,0.4227,0.47928,0.44324,0.18706,2.30469,2.41271,0.05672,0.0012129,0.0012129,0.0012129
60,189.682,1.52239,1.46798,0.02049,0.46306,0.5733,0.49675,0.23208,1.92891,1.71812,0.04308,0.00120795,0.00120795,0.00120795
61,192.674,1.47104,1.34955,0.01759,0.5654,0.5803,0.5591,0.2643,1.80899,1.68624,0.03768,0.001203,0.001203,0.001203
62,195.871,1.57764,1.43518,0.02163,0.64327,0.52101,0.53196,0.20742,2.03906,1.73143,0.04373,0.00119805,0.00119805,0.00119805
63,198.949,1.50495,1.392,0.01913,0.58045,0.59804,0.5835,0.26861,1.95095,1.45789,0.04481,0.0011931,0.0011931,0.0011931
64,201.986,1.54403,1.46751,0.02051,0.65436,0.58514,0.58491,0.2723,1.88545,1.33788,0.04133,0.00118815,0.00118815,0.00118815
65,205.127,1.60387,1.57004,0.0201,0.52145,0.53123,0.54787,0.24381,1.82966,1.48431,0.04156,0.0011832,0.0011832,0.0011832
66,208.145,1.59713,1.35324,0.02142,0.56075,0.59434,0.5729,0.24615,1.93382,1.40566,0.04358,0.00117825,0.00117825,0.00117825
67,211.406,1.57742,1.38,0.02051,0.57589,0.60822,0.56522,0.22571,1.89033,1.59789,0.04252,0.0011733,0.0011733,0.0011733
68,214.439,1.54685,1.40161,0.02102,0.55404,0.64426,0.57935,0.26709,1.83657,1.45565,0.04111,0.00116835,0.00116835,0.00116835
69,217.472,1.51043,1.38347,0.01912,0.6077,0.64192,0.61597,0.25606,1.98287,1.4005,0.04481,0.0011634,0.0011634,0.0011634
70,220.524,1.53817,1.42694,0.01933,0.58892,0.59711,0.59682,0.28313,1.86806,1.57154,0.04034,0.00115845,0.00115845,0.00115845
71,223.632,1.55557,1.50733,0.02054,0.57907,0.64472,0.56127,0.23384,1.95442,1.53557,0.0429,0.0011535,0.0011535,0.0011535
72,226.93,1.49836,1.32737,0.01959,0.68025,0.60504,0.63513,0.27263,1.83963,1.59843,0.03775,0.00114855,0.00114855,0.00114855
73,230.008,1.50662,1.36599,0.01946,0.65888,0.63977,0.62674,0.27781,1.83812,1.50634,0.03935,0.0011436,0.0011436,0.0011436
74,233.1,1.51661,1.27479,0.01971,0.63712,0.67291,0.68425,0.24925,2.09723,1.69759,0.04704,0.00113865,0.00113865,0.00113865
75,236.186,1.48805,1.3166,0.01873,0.62416,0.56346,0.5516,0.2159,2.01561,1.9566,0.04472,0.0011337,0.0011337,0.0011337
76,239.348,1.50421,1.40544,0.01806,0.54459,0.48786,0.47298,0.21515,1.93588,1.97177,0.04394,0.00112875,0.00112875,0.00112875
77,242.79,1.48238,1.32468,0.01935,0.57401,0.57527,0.54002,0.2486,1.97711,1.69971,0.04378,0.0011238,0.0011238,0.0011238
78,245.789,1.51586,1.37317,0.02072,0.65304,0.6855,0.65216,0.30727,1.82287,1.5063,0.04149,0.00111885,0.00111885,0.00111885
79,248.98,1.44297,1.265,0.01838,0.67128,0.62652,0.65748,0.32361,1.69223,1.44997,0.03821,0.0011139,0.0011139,0.0011139
