epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54249,1.8389,14.2823,0.03454,0.12689,0.06962,0.03524,0.01271,2.27278,4.846,0.05567,0.000485714,0.000485714,0.0681048
2,15.4023,1.8582,3.25303,0.03852,0.15461,0.2313,0.10908,0.03806,2.32377,3.61968,0.06377,0.000888129,0.000888129,0.0351738
3,20.8476,1.89234,2.9852,0.03716,0.17604,0.23563,0.12293,0.04698,2.13059,3.16631,0.0567,0.00119154,0.00119154,0.00214392
4,26.6511,1.83555,2.77517,0.03601,0.10658,0.17787,0.10782,0.03926,1.925,3.31409,0.04332,0.0010545,0.0010545,0.0010545
5,32.3774,1.79555,2.62299,0.03335,0.28244,0.32716,0.21005,0.0703,1.95551,3.12134,0.04506,0.000906,0.000906,0.000906
6,37.9947,1.79279,2.48361,0.03467,0.26123,0.37348,0.27998,0.11454,1.74819,2.55526,0.04147,0.0007575,0.0007575,0.0007575
7,43.602,1.73983,2.13252,0.03342,0.68358,0.3082,0.37273,0.14064,2.03025,2.38256,0.04994,0.000609,0.000609,0.000609
8,49.395,1.71081,2.06812,0.03312,0.37968,0.48607,0.37803,0.15738,1.78922,2.12775,0.04106,0.0004605,0.0004605,0.0004605
9,55.2218,1.70436,2.05302,0.03129,0.76411,0.34006,0.46526,0.21326,1.68539,1.91847,0.03909,0.000312,0.000312,0.000312
10,61.0619,1.59557,1.93871,0.03015,0.42114,0.48648,0.46863,0.21403,1.67665,1.93037,0.03837,0.0001635,0.0001635,0.0001635
