epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0015,1.79655,1.06503,1.40959,1e-05,0.00654,0,0,1.61045,0.72499,2.72188,1.92593e-05,1.92593e-05,0.08076
2,64.6358,1.25979,0.68008,0.79619,0.0002,0.06349,0.00032,5e-05,1.6258,0.72808,2.49284,3.91285e-05,3.91285e-05,0.0607799
3,94.0668,1.1297,0.7998,0.68353,0.00021,0.13492,0.00042,7e-05,1.24923,0.91282,1.69449,5.88646e-05,5.88646e-05,0.0407996
4,123.618,1.0323,0.88938,0.56424,0.00239,0.35434,0.00291,0.00046,1.06076,1.29236,1.33917,7.84675e-05,7.84675e-05,0.0208192
5,153.069,0.82899,1.12243,0.44932,0.00226,0.3436,0.00585,0.00106,0.81224,1.72282,0.87885,9.79371e-05,9.79371e-05,0.000838678
6,182.444,0.7426,1.22467,0.37853,0.03144,0.59851,0.0232,0.00724,0.75415,1.85669,0.71809,9.8335e-05,9.8335e-05,9.8335e-05
7,211.417,0.67398,1.31549,0.33859,0.00801,0.69795,0.03587,0.00896,0.74921,1.93546,0.75455,9.8002e-05,9.8002e-05,9.8002e-05
8,240.93,0.64869,1.32943,0.3391,0.66932,0.28758,0.0263,0.00821,0.73171,1.91004,0.81655,9.7669e-05,9.7669e-05,9.7669e-05
9,269.652,0.57857,1.38618,0.29474,0.4447,0.2577,0.04748,0.01904,0.64589,2.06543,0.65968,9.7336e-05,9.7336e-05,9.7336e-05
10,298.82,0.57397,1.39282,0.27097,0.67615,0.18301,0.04808,0.01984,0.63176,2.08708,0.67986,9.7003e-05,9.7003e-05,9.7003e-05
11,328.537,0.5149,1.4017,0.25389,0.67413,0.24837,0.05286,0.02805,0.56978,2.00682,0.56656,9.667e-05,9.667e-05,9.667e-05
12,357.834,0.54181,1.34952,0.27286,0.37356,0.23156,0.06579,0.03539,0.53306,2.00324,0.52918,9.6337e-05,9.6337e-05,9.6337e-05
13,387.254,0.50085,1.34401,0.24042,0.36069,0.28151,0.05572,0.02877,0.57574,1.94389,0.54275,9.6004e-05,9.6004e-05,9.6004e-05
14,416.539,0.48412,1.30523,0.21949,0.0346,0.32637,0.0606,0.03132,0.56461,1.78999,0.5342,9.5671e-05,9.5671e-05,9.5671e-05
15,445.362,0.46522,1.30765,0.21857,0.36726,0.23436,0.05896,0.03189,0.51711,1.71509,0.48696,9.5338e-05,9.5338e-05,9.5338e-05
16,474.035,0.47861,1.31205,0.21859,0.05373,0.30112,0.06712,0.03527,0.51005,1.69305,0.46196,9.5005e-05,9.5005e-05,9.5005e-05
17,502.831,0.44921,1.29227,0.21011,0.38287,0.19514,0.06975,0.0353,0.54798,1.59953,0.51608,9.4672e-05,9.4672e-05,9.4672e-05
18,531.683,0.45273,1.28154,0.21114,0.05403,0.31186,0.07274,0.03909,0.53825,1.6218,0.51462,9.4339e-05,9.4339e-05,9.4339e-05
19,561.312,0.42424,1.30557,0.19747,0.04293,0.37768,0.05716,0.03158,0.51884,1.68837,0.51224,9.4006e-05,9.4006e-05,9.4006e-05
20,590.113,0.39554,1.32767,0.17848,0.04578,0.33707,0.06463,0.02991,0.54186,1.59646,0.51164,9.3673e-05,9.3673e-05,9.3673e-05
21,618.949,0.41051,1.29972,0.18656,0.03888,0.35528,0.07214,0.03738,0.52197,1.62903,0.48021,9.334e-05,9.334e-05,9.334e-05
22,648.023,0.38759,1.29871,0.18526,0.05421,0.35668,0.06342,0.03236,0.551,1.5348,0.51936,9.3007e-05,9.3007e-05,9.3007e-05
23,677.009,0.36603,1.32275,0.16809,0.04105,0.37115,0.0655,0.03655,0.54077,1.51848,0.53999,9.2674e-05,9.2674e-05,9.2674e-05
24,705.85,0.40346,1.29389,0.18176,0.05437,0.41597,0.06746,0.03758,0.50889,1.51665,0.49292,9.2341e-05,9.2341e-05,9.2341e-05
25,734.816,0.3799,1.27643,0.1578,0.05115,0.44566,0.06791,0.03794,0.51238,1.53159,0.47593,9.2008e-05,9.2008e-05,9.2008e-05
26,764.538,0.35832,1.32223,0.15813,0.04431,0.42042,0.0584,0.03299,0.52757,1.52474,0.50477,9.1675e-05,9.1675e-05,9.1675e-05
27,793.714,0.35274,1.26105,0.13955,0.04308,0.49673,0.06131,0.03504,0.52005,1.48968,0.53664,9.1342e-05,9.1342e-05,9.1342e-05
28,822.863,0.35788,1.26811,0.15136,0.04575,0.53361,0.06649,0.03796,0.55361,1.43635,0.53312,9.1009e-05,9.1009e-05,9.1009e-05
29,852.395,0.34716,1.23754,0.14508,0.0513,0.45191,0.06455,0.03472,0.54231,1.43255,0.51888,9.0676e-05,9.0676e-05,9.0676e-05
30,881.28,0.36025,1.24396,0.14934,0.06184,0.41783,0.07992,0.04332,0.51528,1.44178,0.48796,9.0343e-05,9.0343e-05,9.0343e-05
31,910.357,0.3553,1.2258,0.14674,0.06627,0.44678,0.0756,0.04,0.56531,1.42621,0.53869,9.001e-05,9.001e-05,9.001e-05
32,939.197,0.34717,1.18771,0.13622,0.0619,0.51793,0.08821,0.04542,0.58063,1.36688,0.54561,8.9677e-05,8.9677e-05,8.9677e-05
33,968.653,0.35297,1.18822,0.14463,0.05424,0.43091,0.07619,0.03927,0.57631,1.29702,0.5614,8.9344e-05,8.9344e-05,8.9344e-05
34,997.809,0.33845,1.14677,0.14437,0.05792,0.45449,0.09306,0.05152,0.58159,1.60288,0.55186,8.9011e-05,8.9011e-05,8.9011e-05
35,1027.54,0.36819,1.26223,0.15889,0.08255,0.44024,0.09248,0.04098,0.60957,1.17162,0.59634,8.8678e-05,8.8678e-05,8.8678e-05
36,1056.51,0.35054,1.15088,0.14529,0.1283,0.36648,0.13599,0.07211,0.62022,1.19509,0.57937,8.8345e-05,8.8345e-05,8.8345e-05
37,1086.33,0.38498,1.2933,0.16146,0.05472,0.58263,0.08937,0.04692,0.5472,2.08458,0.49665,8.8012e-05,8.8012e-05,8.8012e-05
38,1115.33,0.3414,1.26117,0.14131,0.10184,0.38306,0.10666,0.05819,0.559,1.17966,0.54095,8.7679e-05,8.7679e-05,8.7679e-05
