epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.85,0.94401,1.04201,0.42977,0.17317,0.23526,0.14949,0.04832,1.08979,0.86322,1.62905,1.97101e-05,1.97101e-05,0.0803096
2,63.5677,0.60001,1.0424,0.25611,0.21237,0.36782,0.15278,0.07364,0.7663,1.94096,0.86037,3.89167e-05,3.89167e-05,0.0603288
3,94.2344,0.40194,1.20498,0.17441,0.21809,0.41766,0.23271,0.10117,0.66342,1.40805,0.72871,5.73241e-05,5.73241e-05,0.0403472
4,126.214,0.34438,1.23891,0.14788,0.30518,0.37763,0.27709,0.17285,0.42377,1.28863,0.44491,7.49323e-05,7.49323e-05,0.0203648
5,157.129,0.34028,1.23903,0.13452,0.19818,0.48428,0.22776,0.1453,0.41138,1.15913,0.43559,9.17413e-05,9.17413e-05,0.000381596
6,188.606,0.31707,1.25611,0.12889,0.17915,0.54564,0.21906,0.12733,0.41354,1.37143,0.41252,9.001e-05,9.001e-05,9.001e-05
7,218.34,0.29493,1.1994,0.12706,0.17879,0.53597,0.23676,0.14337,0.39998,1.29414,0.39072,8.8012e-05,8.8012e-05,8.8012e-05
8,250.894,0.29398,1.19893,0.12056,0.25816,0.51007,0.28952,0.18978,0.39068,1.2591,0.42685,8.6014e-05,8.6014e-05,8.6014e-05
9,281.085,0.30884,1.096,0.12904,0.24446,0.50736,0.31932,0.20879,0.42818,1.14739,0.4384,8.4016e-05,8.4016e-05,8.4016e-05
10,311.742,0.33694,0.94573,0.13441,0.25366,0.57814,0.3889,0.24458,0.42301,1.28221,0.43108,8.2018e-05,8.2018e-05,8.2018e-05
11,342.391,0.34343,0.84137,0.15471,0.32032,0.52698,0.42176,0.26797,0.43897,1.49669,0.44174,8.002e-05,8.002e-05,8.002e-05
12,372.565,0.32683,0.75699,0.13862,0.4495,0.51359,0.49206,0.31607,0.44204,1.31619,0.45098,7.8022e-05,7.8022e-05,7.8022e-05
13,404.894,0.34922,0.58442,0.13555,0.62397,0.53023,0.56765,0.37924,0.46726,1.07596,0.50097,7.6024e-05,7.6024e-05,7.6024e-05
14,436.139,0.33837,0.50015,0.1391,0.66806,0.58897,0.63452,0.40553,0.45394,1.25982,0.45857,7.4026e-05,7.4026e-05,7.4026e-05
15,468.085,0.32465,0.47548,0.13831,0.67065,0.58611,0.63224,0.41333,0.4276,0.96535,0.43579,7.2028e-05,7.2028e-05,7.2028e-05
16,499.362,0.32341,0.46807,0.14177,0.6878,0.57437,0.63403,0.39644,0.45213,1.1759,0.46962,7.003e-05,7.003e-05,7.003e-05
17,530.233,0.33497,0.46377,0.14238,0.70494,0.54919,0.61366,0.40098,0.44544,0.96036,0.45005,6.8032e-05,6.8032e-05,6.8032e-05
18,561.692,0.32059,0.45547,0.14224,0.72465,0.61568,0.65258,0.43094,0.43112,0.83556,0.44363,6.6034e-05,6.6034e-05,6.6034e-05
19,591.686,0.32144,0.45771,0.148,0.77253,0.57491,0.64202,0.43716,0.41635,0.90491,0.42462,6.4036e-05,6.4036e-05,6.4036e-05
20,622.942,0.31177,0.46395,0.13459,0.77306,0.66332,0.71446,0.47197,0.42322,0.84897,0.43519,6.2038e-05,6.2038e-05,6.2038e-05
21,653.629,0.30968,0.44624,0.13908,0.78128,0.63174,0.68002,0.4592,0.41334,0.84111,0.43074,6.004e-05,6.004e-05,6.004e-05
22,684.054,0.31322,0.4466,0.13098,0.79512,0.61687,0.66897,0.43909,0.44029,0.84231,0.46531,5.8042e-05,5.8042e-05,5.8042e-05
